WONG-EMBRYONIC-STEM-CELL-CORE	WONG-EMBRYONIC-STEM-CELL-CORE	ABCB7	ACAD8	ADH5	ADSL	AK4	ALDH7A1	ALDOC	AMOTL2	ANP32E	APEX1	ATP5J	ATP5O	AURKA	AURKB	BANF1	BAX	BCAT1	BIRC5	BLM	BRIX1	BTF3	BUB1	BUB1B	BUB3	C11orf48	C2orf47	CBX3	CCNA2	CCNB2	CCNC	CCND1	CCND2	CCNF	CCT5	CDC20	CDC34	CDC6	CDC7	CDCA3	CDCA5	CDCA7	CDCA8	CDK1	CDK4	CDKN1C	CDKN3	CHAF1A	CHEK1	CHEK2	CISD1	CKAP2	CKS1B	CKS2	CLPP	COQ3	COX4NB	COX5B	CRABP2	CSE1L	CSRP2	CTNNA1	CTSC	CYCS	DAP3	DARS2	DBF4	DDX18	DEK	DHX9	DLAT	DLGAP5	DNMT1	DPP3	DTL	DTYMK	E2F3	EBNA1BP2	ECHS1	EEF1E1	EEF2	EIF2S2	EIF2S3	EIF3A	EIF3I	EIF3K	EIF3L	EIF4A1	EIF4B	EIF4EBP1	EIF6	ELOVL6	ENO1	ERCC6L	ERP29	ETFA	EXO1	EXOSC7	FAM136A	FAM60A	FARSA	FBL	FDPS	FGFR1	FH	G3BP1	GARS	GART	GEMIN2	GEMIN6	GJA1	GLDC	GLO1	GMNN	GNA14	GNL3	GNPDA1	GSPT2	GTSE1	HADH	HAT1	HAUS1	HDAC1	HELLS	HMGB2	HMGN5	HN1	HNRNPA1	HNRNPAB	HNRNPK	HNRNPL	HSPA14	HSPA9	HSPE1	IARS	IPO9	KIF11	KIF20A	KIF22	KIF23	KIF4A	KPNA2	KPNA6	KRAS	LMNB1	LSM10	LSM2	LSM4	LSM5	LYPLA1	MAD2L1	MAPK13	MCM2	MCM3	MCM4	MCM5	MCM7	MID1IP1	MKI67IP	MRPL11	MRPL12	MRPL13	MRPL15	MRPL16	MRPL37	MRPL39	MRPL4	MRPS17	MRPS18B	MRPS2	MRPS28	MRPS30	MRPS36	MRTO4	MSH2	MTF2	MTHFD2	MYBL2	MYC	NAP1L1	NASP	NCAPD2	NCAPH	NCBP2	NCL	NDC80	NDUFA11	NDUFA9	NDUFAB1	NDUFB10	NDUFB7	NDUFB8	NDUFS2	NEK2	NHP2	NIP7	NIPSNAP1	NLN	NME2	NME4	NONO	NOP10	NOP2	NT5DC2	NTHL1	NUDCD2	NUP107	NUSAP1	ORC1	OTX2	PA2G4	PABPC1	PARP1	PCNA	PDCD2	PDHA1	PDIA4	PDPN	PHB	PHC1	PHF5A	PIPOX	PLK1	PLK4	POLD1	POLE2	POLR2F	POLR3K	POP7	PPM1G	PPP4C	PRDX1	PRIM1	PRIM2	PRMT1	PRMT3	PROM1	PRPS1	PSMA5	PSMA7	PSMB5	PSMB6	PSMD14	PSME3	PUS1	RAB34	RACGAP1	RAD18	RAD23B	RCC1	RCC2	RCN2	RFC3	RNPS1	RPA2	RPA3	RPL10A	RPL13	RPL22	RPL27A	RPP40	RPS12	RPS16	RPS19	RPS23	RPS27	RPS3	RPS5	RPS8	RPSA	RRM1	RRM2	RUVBL1	RUVBL2	SARS	SDHC	SDHD	SEPHS2	SERPINH1	SET	SLC16A1	SLC25A5	SLC2A1	SMC2	SMC4	SNRNP40	SNRPA	SNRPA1	SNRPD1	SNX5	SOX2	SPAG5	SQLE	SRSF10	SS18	SSB	STIP1	STOML2	SUMO1	TCF19	TCF7L1	TCOF1	TEAD2	TERF1	TGIF1	TGIF2	THOC3	TIMM13	TIMM44	TIMM8A	TIMM8B	TMEFF1	TOP2A	TP53	TRIP13	TRIP6	TTK	U2AF1	UBE2G1	UBE2V2	UGDH	UQCR11	UQCRH	UTP18	VBP1	VRK1	WBP11	WDHD1	WDR77	WEE1	XPO1	XRCC5	YAP1	YY1	ZIC3	ZNF22																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
Sadanandam-signature	Sadanandam-signature	A1CF	ABI3BP	ACAD9	ACADSB	ACE	ACVR1B	ADAM28	ADAMTS2	ADAMTS7	ADM	AFG3L1	AKR1C4	ALDH1A1	ANGPTL3	APLP1	APOH	AQP8	ARRDC4	ATHL1	BCAT1	BID	BTC	C19orf77	C20orf46	C7orf68	CADPS	CAPN13	CAPNS1	CASP1	CASR	CDS1	CEACAM1	CELA1	CHI3L2	CHST1	CHST8	CKS2	CLCA1	CLDN1	CLDN10	CLDN11	CLPS	CNPY2	COL1A2	COL5A2	COL8A1	COPE	CPA1	CPA2	CRYBA2	CSDA	CTRB1	CTRC	CTRL	CUZD1	CXCR4	CXCR7	CYP4F3	DAPL1	DEFB1	DLL1	EFNA1	EGFR	EGLN3	ELMO1	ELSPBP1	ENC1	ENTPD3	ERBB3	F10	F12	F7	FAM19A5	FCGR1A	FGB	FGD1	FKBP11	FMNL1	FOXO4	GAL3ST4	GATM	GCGR	GLP1R	GLRA2	GLS	GP2	GRM5	GRSF1	GUCA1C	HAO1	HERC5	HGD	HR	HSD11B2	IDS	IFI44	IL18R1	IL20RA	IL22RA1	IMPA2	INPP5F	INS	IP6K2	KIT	KLK4	KLK8	LEF1	LGALS2	LGALS4	LOXL4	LRAT	MAFB	MAP3K14	MASP2	MBP	MIA2	MLN	MMP1	MNX1	MOBKL1A	MTP18	MX2	MXRA5	NAAA	NDC80	NEFM	NEK6	NETO2	NUDT5	NUPR1	P2RX1	PAFAH1B3	PDE4DIP	PDGFC	PDIA2	PEMT	PFKFB2	PFKFB3	PIF1	PLA1A	PLCE1	PLIN3	PLXDC1	PMEPA1	PMM1	PNLIP	PNLIPRP1	PNLIPRP2	POSTN	PPEF1	PRLR	PRSS1	PRSS2	PRSS22	PRSS3	PRSS8	PSMB9	PTPLA	PTTG1	PVRL4	RAB17	RAB20	RAB7L1	RARRES2	RBP4	RBPJL	REG1B	ROBO3	SCD5	SERPINA1	SERPINA3	SERPIND1	SERPINI2	SH3BP4	SLC12A7	SLC16A3	SLC2A1	SLC30A2	SLC7A2	SLC7A8	SLC8A2	SMARCA1	SMEK1	SMO	SMOC2	SPAG4	SRGAP3	SSX2IP	STEAP1	STEAP3	SUSD5	TACSTD2	TAPBPL	TBC1D24	TECR	TFF1	TGFBR3	TGIF1	THBS2	TLE2	TLR3	TM4SF1	TM4SF4	TM4SF5	TMEM176B	TMEM181	TMEM51	TMEM90B	TMPRSS15	TMPRSS4	TNFAIP6	TOP2A	TSC2	TSHZ3	TWIST1	TYMS	USP29	VEGFC	VIPR2	WNT4	ZNF521																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
intestinal stem cell signature	intestinal stem cell signature	WEE1	TLE3	FLOT2	CROCC	SCML4	FAM13A	PSIP1	CBX2	SLC1A3	NME4	NGEF	L3MBTL3	HES1	ZMYM4	ENPP1	GRLF1	DPYSL5	PHGDH	STMN1	ZFP280C	RBM38	MARCKSL1	ACSS1	HK2	SLC25A4	HMGN1	PROM1	RRP1B	CHEK1	MGA	FAM60A	BCL11A	ITGA1	ZMYM3	THUMPD2	PBLD	FHIT	CDCA5	GTF2I	POLR1E	ZFP422	SNTB2	ESCO2	ZFP629	INSR	BAG2	PLSCR3	UHRF2	SLC27A1	DKC1	DOCK11	TRIT1	XPC	TIA1	MTUS1	NARG2	ZFP191	TRP53BP1	CHEK2	CPS1	GINS4	MCM2	WHSC1	MSH2	TRIM28	NRM	NFIB	ATRX	EPHB2	ZFP512	ZFP346	RPA2	SURF2	HELLS	CCNB1	TTK	ZFP451	DNAJC9	POLA2	PDXK	SIPA1L1	ACSS2	PDP1	APEX1	SPATA13	ZFP280D	HMGB3	MCM5	ZFP828	UNC84B	MCM6	CLIC4	VGLL4	CDK4	MACROD1	TMX4	NEIL1	MCM3	ZMYM2	NMRAL1	PGCP	NUSAP1	MYCBP2	MCM7	SMAD5	MECP2	BCL11B	INCENP	HMGA1	NUP210	MCM4	FOXP4	RAD50	LZTS2	POU2F1	FLNA	RTN4	FHL2	HRSP12	SDSL	NUBPL	MBP	IVD	ADNP	ERI1	PKIG	BPHL	SPIN1	LHPP	UROD	ISG20L2	DTD1	LYPLAL1	ATXN10	METT5D1	PHF6	RNF2	ARSB	PPP1R1B	ZFP740	FTO	WDR55	POLR1A	CHCHD6	NHP2	BRD8	BCKDHA	CYP2E1	LGR5	TNFRSF19	FSTL1	GKN3	SCN2B	CES1D	PRELP	SP5	E230029C05RIK	IL17RD	FMNL2	ARL4C	CTTNBP2	RGMB	ANGPT2	AXIN2	HUNK	CAR12	PTPRO	DCT	SFRP5	SYCN	CLCA2	1300002K09RIK	CASP12	EMP2	MIA1	PSRC1	NOTCH1	RNF43	DDO	ARHGEF4	CLCA1	EVL	UTRN	ESRRG	ESAM	FGFR4	SEMA7A	WWTR1	SORCS2	RAD51L1	IRS1	MPP3	TTC21B	CDO1	PLA2G4A	ATG16L2	EPHA4	SMO	CPN1	KLHL8	RNF32	FZD2	D930015E06RIK	TGIF2	WDR35	ELL3	APCDD1	CDC42EP1	FZD7	AFAP1	MEX3A	ADRA2A	SHISA2	POGK	GRAMD1A	SOX4	NAPEPLD	TXNDC16	SECTM1B	SLC23A3	CITED4	B930095G15RIK	EPHB3	GPR30	PPAP2B	ZNRF3	TFPI	PLEKHB1	RGS12	FARP1	CD320	CC2D2A	CBX6	TEAD2	MYCL1	RASA3	PLXNB1	MAN2A2	LARGE	NAP1L1	TRIM44	PRKD3	GKAP1	SRL	TEX9	6230424C14RIK	GPLD1	CACHD1	MYC	ZRANB3	WWP1	LIPT2	DYNC2H1	GAS6	ATM	PTPRS	SNX10	ZFP12	KCNE3	TTPA	WDR90	IMMP2L	DMPK	FBXO21	PSD3	DDB2	ZKSCAN17	SLC19A2	CLIC6	AFAP1L1	ASCL2	SORBS2	NAV1	SLCO3A1	OLFM4	AGR3	MSI1	SOAT1	CDCA7	CD44	CDK6	AQP4	CGNL1	SLC12A2	MECOM	TNS3	PHLDB2	SMOC2	DACH1	CLCA4	LCP1	FAM115C	ACSM3	KCNQ1	SOX9	PAICS	SEPT6	CNN3	PICALM	GLRX	VDR	GRB7	SESN3	ZBTB38	FAM115A	PTPRM	RASSF4	ZFHX3	PDE3B	FHDC1	ZFP292	TUBB2B	EFNA4	LRIG1	FRAS1	ADRBK2	KIF12	PRKACB	ATP11A	SPATA24	POLI	MCC	SLC44A2	TBC1D19	ZFP462	1500011H22RIK	ARHGAP39	ZBTB12	EHF	APP	GM5918	TRIM37	MARVELD1	PPP1R9A	PELI2	TNS4	MFGE8	SLC39A10	PPAT	ZFP566	KLHL23	TIAM1	GM3626	AQP1	TMEM132A	RHBDF1	2310008H04RIK	PBX1	TNFSF10	ALS2CR4	PHLPP1	IFT122	BCL2	LYSMD2	ZFP397	TSPAN5	ACVR2B	MLH3	BRCA2	ZFP275	ENGASE	NELF	GABBR1	RGNEF	PPM1F	PRRC2B	AU020206	FADS1	NOD1	RNF219	4933439C10RIK	PNPLA7	ZFP704	C79407	ERI2	TNFAIP8L1	TTC23	MPZL3	ZBTB25	MAGED1	FAM92A	CCDC18	ZFP783	KRT23	MLXIP	LANCL1	LPAR6	ZFP553	POGLUT1	POLE	MCM8	HAUS4	ZFP90	PLCE1	FAM189B	PDS5B	TGIF1	PHC1	BLNK	SPICE1	ASPM	ISYNA1	PALB2	HIRIP3	ALMS1	LASS6	MPZL1	CENPF	MDN1	SEMA3B	ZMYM1	CEP192	UNG	PRPF40B	ATR	AI480653	ZFP318	TMEM9	GINS1	IFITM2	VNN1	SMPX	TMEM194	DTL	CSNK1E	DCTD	XRCC5	NT5C3L	ALDH7A1	LIMK2	ETV6	ELMO1	DAPK2	NFIC	TIMELESS	CKAP2	MYO1B	NFIA	CSAD	TBC1D4	BCKDHB	BCL7A	PCK2	YAP1	STK39	RPRD1A	ILF3	KIF20A	MIF	MKL2	FAM120C	NCOR2	PCDH8	RASSF5	SLC14A1	NR2E3	1190002H23RIK	SMARCD3	AK7	BHLHB9	PRSS23	IFITM3	WFDC15B	RDH16	ZFP618	LECT2	H2-EB1	IFFO2	ZC3HAV1L	KLHL24	TBC1D9	CIITA	NRTN	NRG4	TCF7	GREB1	NRN1	AI747448	DTX4	TRIM32	RASL11B	ZFP503	BC021891	PDGFA	TLR2	S100PBP	4933431E20RIK	FGD1	1110051M20RIK	SLC16A13	KANK1	CLU	PHF20	ZFP956	1700040L02RIK	RHOBTB3	FAM171A1	PDE8B	RCCD1	SGK1	IMPDH2	IRF2BP2	ACOT1	TIFA	TRIM24	HMGA2	HMBOX1	HMGCS2	ARID5B	NOXA1																																																																																																																																																																																																																																																																																																																							
BHATTACHARYA-EMBRYONIC-STEM-CELL	http://www.broadinstitute.org/gsea/msigdb/cards/BHATTACHARYA-EMBRYONIC-STEM-CELL	EIF4A1	AURKB	CCNC	CDK1	EPRS	RPL6	KPNA2	SERPINH1	SSB	POU5F1	PSIP1	DDX21	PPAT	HSPA4	MAD2L2	CCT8	LRRN1	ZNF117	PHF17	ELOVL6	GAL	RPL4	IGF2BP2	CALU	KRT18	TUBB6	ZNF43	RPS24	HNRNPAB	HMGB2	PTTG1	IDH1	DTL	HDAC2	CACHD1	NANOG	GSX1	ARL5B	SRSF7	LEFTY1	NASP	IFITM1	KIF4A	PITX2	PSMA3	TNNT1	RCC2	GJA1	GNL3	TDGF1	NME2	RPLP0	LIN28A	HMGA1	RSL24D1	TPX2	PSMA2	KRT8	SNRPF	MGST1	ZNF257	TK1	DNTTIP1	CYP26A1	MTHFD2	FABP5	SEPHS1	IMPDH2	RPL7	SMS	SEMA6A	TUBB	MTHFD1	GDF3	FAM83D	SLC16A1	SFRP2	NBR2	SET	RPL24	PODXL	LDHB	DSG2	CRABP2	CRABP1	BRIX1	ACTC1	NPM1	CCNB1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
RAMALHO-STEMNESS-DN	http://www.broadinstitute.org/gsea/msigdb/cards/RAMALHO-STEMNESS-DN	CSF1R	RELN	PPP3CA	ST3GAL6	MLLT11	EMR1	HSD11B1	PRKCB	CD53	RTN3	ACVRL1	CLEC4A	CYFIP2	EVI2A	HBA2	CD68	FAM101B	CD47	AP2A2	BMP1	SLFN12L	CEBPD	SLC11A1	MESDC2	GAS7	ABR	ZAP70	GRINA	CORO1A	ARG2	CTSB	MPEG1	PTPRC	ADSSL1	HDC	B4GALNT1	LY86	SIRPA	RBMX	KCNAB2	NCAM1	ITGB2	PAPSS2	PGLYRP1	COL11A2	TYROBP	ZDHHC14	NIN	MAL	BIN1	HSD17B8	WDR92	LAT2	CST3	CMA1	PPP2R5A	EVL	PACSIN1	RGS10	STMN1	CTSS	NHSL2	PPPDE2	ROGDI	GSN	NRP1	LOC284023	PLD4	GRIA2	CBX4	RGS14	ABLIM1	RNASEK	EFHD1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
Cell_Cycle	Cell_Cycle	CDK4	CDK6	CCND1	CCNA1	CDKN2A	RB1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
Centroid	Centroid	CAV1	RGS20	MMP10	PXN	SMTN	MCCC1	FRAT2	HLF	LAMC2	ITM2A	CD2	CD3G	TNFRSF12A	IL11	ITGA5	PTHLH	ECHDC2	PBX1	DAAM1	TGM2	TRAF3IP3	GPR171	PANX1	PDPN	GIMAP4	VEGFC	GCHFR	LAMA3	EHD2	LIMA1	ZAK	PLEK2	TGFBI	UPP1	EYA2	NT5E	IRF8	CD247	PLAU	IRS1	PTPRC	GALNT6	MANSC1	DBI	GIMAP6	UNG	SEMA3C	MMP1	SNAI2	PRKX	MAN1C1	SUSD4	GPD1L	ITGB7	MYO1B	RPS6KA4	CYP27B1	ABCC5	IL10RA	MYO5C	SHC1	LMO4	GZMK	BMP7	FOSL1	EVI2B	CSPG4	HLA-DMB	CCL19	CTSL2	KLRB1	RAB38	NKG7	LTB	CXCR4	COL5A3	ACTN1	CECR1	GMFG	RASSF2	NRG1	LCP1	EVI2A	EPB41L1	PTN	IGJ	DOCK10	FAM46C	SLA	EZH2	CCR7	IL2RB	ITGA3	ITGAL	KRT19	SASH3	PHF17	DUSP6	LGALS2	CD74	FJX1	TGFBR2	PLAC8	MS4A6A	FBXO2	ELF3	PYGL	MYB	NCF4	LRIG1	ACAP1	ICAM2	CXCL13	ZBED2	FNBP1	MMP3	SCPEP1	CIITA	TXNIP	SFXN3	PAPPA	SLC35F2	KRT13	EMP3	EDNRA	CD8A	BNIP3	P4HA2	FUCA1	PDGFC	ALOX5	CDKN2C	ICAM3	YIF1A	HLA-DRA	ACTL6A	POU2AF1	TNFRSF17	PIM2	BCL11A	PRRG1	GZMH	LAPTM5	HLA-DPA1	TUBA4A	PMEPA1	EFS	KRT15	DKK3	IRF6	SLC38A2	PRSS23	ITGB2	GIMAP5	RFC4	SSFA2	CYBB	ST6GAL1	ALDH3A2	TSC22D2	FANCE	DRAP1	LST1	FOXA1	SRGN	TUBB3	PTGS1	HLA-DRB4	MTFR1	LGALS1	DENND2D	FST	KIAA0125	PRNP	RFTN1	PSIP1	IGFBP6	CXCL12	PPP1R16B	SEMA4D	BTK	CSF1R	FSCN1	CD53	KLF10	C20orf20	CDA	HLA-DMA	PPP1R14B	TNFAIP2	GATM	TPBG	MT2A	AP2M1	HOMER3	SELL	ERBB3	RAB15	AIF1	CTSC	NEDD4	CORO1A	ARHGDIB	GGA2	ISOC1	CAMK2N1	PSD3	RPS6KA5	IL20RA	SAMD4A	PITX1	HLA-DPB1	GZMB	VNN2	EPHX2	TMEM176A	P2RY1	MYO5A	CEL	SLC9A3R1	VCAM1	F3	GJA1	SLCO2B1	TRIM2	CDH3	LY86	PECAM1	MOSC1	TBC1D16	PRKCI	PROCR	MEIS1	MCM2	EVL	TMPRSS2	HCLS1	FKBP14	TNFAIP6	FAM65B	CD151	SENP5	IMPDH1	ANXA5	RAPGEFL1	CALU	UBE2J1	ARHGAP25	RGS5	LCP2	KNTC1	ADD3	FHL2	C16orf57	SLAMF7	GINS3	FGR	SRPX	CHPT1	REPIN1	ZDHHC11	SCNN1A	PHLDA1	CTPS	SLC31A2	ID2	LPCAT1	MDK	KLF2	DUSP14	C5	RHOB	CLDN4	SLC2A1	EPHB6	F2RL1	TYROBP	PPFIBP2	SELENBP1	ICOS	TIPARP	FEM1B	IL18RAP	SSR4	UBA7	TPM1	SLC2A9	PFN1	CLDN7	DEF8	MFAP5	BIRC3	RSRC1	UCP2	CCL5	PHGDH	NMU	KRT75	TLR7	PPAP2B	ITGAM	TNC	IFI30	PRKCDBP	TUBB6	ATP1B3	FYB	HN1	FCGBP	CD79A	SAMSN1	BIN1	CDC7	DTL	GZMA	PLA2G4C	CA12	RUNX3	MAPK6	ESPL1	AQP1	YAP1	OSMR	IL7R	KRT14	C1QA	IL1RAP	CENPF	MNDA	BICD2	FCGRT	DPT	FADS3	HLA-DQB2	CLCA2	ASF1B	PKM2	MFAP2	KCNS3	ALDH6A1	CTSH	TFRC	BASP1	POLQ	TMEM14A	SLC7A5	DUSP4	FAIM	KIF11	FGFBP1	HMGB2	BPGM	HTRA1	PVR	AXL	COL17A1	NTRK2	MAOA	OIP5	ZWINT	ACSL5	SENP2	PERP	RRAS2	C19orf21	PER2	LRMP	FBLN5	CREG1	HLA-DOB	ECT2	ALDH3A1	LPXN	KRT16	SLC7A8	CD69	ICA1	TMPRSS4	BSPRY	GABRP	ERMP1	XBP1	CDH13	PAK6	KRT17	SP110	CCL2	CLEC3B	SELE	NDRG1	RASGRP1	C3	C1QB	ELMO3	FKBP11	C3orf52	CAV2	FYN	COL13A1	GLRX	FKBP9	CD248	ALDH1A1	PCDH7	PPP1R13L	CDKN1A	CBLC	TSC22D3	MGP	MFAP4	MLLT11	AGPAT4	SLC7A7	PLSCR4	HERPUD1	PTGDS	CX3CL1	RGS1	LMO2	COL4A5	G0S2	SPARCL1	CASP4	RNF7	NFE2L3	TRIM24	SPON2	TSPAN5	IL32	B4GALT4	SFN	MEF2C	GFPT2	AGPS	TM7SF3	GPR56	ALDH2	IGF2BP2	ERO1L	SCRN1	SSBP2	FOXE1	MAD1L1	PTGER4	NNMT	IFITM2	FAP	ATAD2	A2M	LAMB3	PCNA	UBE2H	KCTD12	KCNJ15	PDE4B	CXCL9	PIR	ELOVL1	RARRES3	CYB5R1	LEPRE1	FPR3	COBLL1	CDCP1	HRASLS	LEPREL1	SERPINH1	C9orf125	TWIST1	SLC25A36	PLK2	NRIP1	RAB31	CBS	ALOX5AP	DHRS3	PLOD1	IPPK	PLAUR	KCNJ2	LXN	CASP1	SLC39A4	KRT1	MMP2	YEATS2	SERPINE2	HRAS	GMNN	CORO2A	GSK3B	KTN1	APOC1	PTPLA	CLEC4A	NME7	C10orf10	TIMP1	CHN1	COL4A1	GREM1	NMD3	ADAM19	RARRES2	PIK3R1	TMPRSS11D	ALDH9A1	NUCB2	HRH1	BMP2	GRPEL1	CELSR2	FLNA	ARTN	C1R	COL5A1	SERPINA1	MICALL1	CALD1	EPHX1	TPD52L1	TUFT1	PFN2	CD163	POF1B	LYN	RGL1	EHF	RAB11FIP1	CD44	EPS8	SEPP1	MAL	ARHGEF4	HLA-DQB1	RIPK4	PLCG2	IDH1	FDFT1	SERPINB5	IER3	GNG11	BCAR3	TSPAN6	LAP3	FBP1	TNFAIP3	MAN1A1	SCHIP1	TACC1	TMEM30B	SLC6A8	RCN3	SEC61G	GLTSCR2	RARRES1	ST6GALNAC2	NETO2	VIM	ZNF395	ARL6IP5	GMPS	THBS2	LRRC8E	CTNNAL1	CD83	ADORA2B	GJB3	CEBPA	ANXA3	TFF3	PGD	RCN2	FAM59A	SLC3A2	RAB32	PTK6	CA2	SPAG5	GPR87	FAM164A	TPPP3	ACPP	NEBL	KDELC1	PKP3	PCF11	IL1B	SEMA3F	SLCO2A1	ATP1B1	COL6A2	PTS	CBX6	NLRP3	CEBPB	MCM5	BTN3A1	FBLN1	RAD51AP1	CD14	STAB1	ANGPT2	KLK8	CLEC11A	PTPRE	S100A3	IGFBP7	GJB5	RBP1	SMS	CXCL14	PPAP2A	PARP12	NCF2	MYH10	ASPM	PDLIM4	TMBIM1	GNA15	TFAP2A	ENAH	UCHL3	COPZ2	FOXD1	BTG2	MMP14	CDK5R1	MAP3K8	TOP2A	CYP3A5	EFEMP2	NEK2	NFIB	PDCD4	STIL	CTSO	PTPN13	PAWR	TREM2	BRCA1	ULBP2	KRT18	FGFR3	TNF	C1S	CDH2	ST3GAL5	COL5A2	DEPDC1	HLA-DQA1	P4HA1	NELL2	COL7A1	BLNK	FKBP10	KLF5	USP13	TRIM22	ZNF573	PLOD2	SPRR3	TMEM2	OLFML2A	LHX2	JUP	TNNT1	HOOK1	KCNK1	PELI2	IFNAR2	GSR	CEACAM1	COL16A1	PALLD	SASH1	GBP2	KDELR3	FAM171A1	CBR3	KLK7	LY96	MAP3K9	SERPINF1	S100A4	C11orf75	CDKN1C	GPRC5A	PRC1	FXR1	MCM4	IFITM3	OLFM1	ZBTB20	FMO3	PAX9	RNASEH2A	PSME2	HSD17B1	TFAP2C	ALCAM	RPL39L	GNE	ICAM1	NUP62CL	INSIG1	COX7A1	FMOD	NR2F1	ZNF165	COL4A2	C8orf4	RRAGD	FABP5	BDKRB1	NDC80	SPAG4	TSTA3	CYorf15B	DSG2	C1orf54	CBR4	KRT6A	DDAH2	FMO2	PTK7	HK2	MCM10	ATF7IP2	CD40	PRRX1	CD38	C9orf3	NID1	HLA-B	KRT4	USP9Y	EFNB2	CA9	DCN	CEACAM5	IVNS1ABP	ARID5B	CXADR	SLC39A14	MOBKL2B	LHFPL2	GALNT10	FHOD3	TPST1	NCBP2	SERPINB13	CKS1B	C1orf106	MMP9	IRF1	TBC1D2	FUT3	GINS2	CYP1B1	ISG20	PGK1	POLE2	CRCT1	ACAT2	IL22RA1	TNS3	FXYD6	VWF	PTGS2	CHST7	EFNA1	EPN3	EPB41L4B	SH2D4A	ADM	MT1X	BTN3A2	IRF7	EMCN	KLF6	MYC	HOMER2	CCL21	DNASE1L3	CCDC109B	IL33	PDGFRB	CYP2C18	PBK	CLEC2B	RRM2	AMMECR1	PSAT1	KLF4	FERMT2	SQLE	CXCL2	HSD17B2	CH25H	PROS1	MOXD1	CTSK	MAGEH1	ISG15	TCIRG1	LARP6	PCOLCE	RAI14	HCK	PGCP	DNMT3B	SLCO4A1	DIO2	CDC20	KIT	TAGLN	SLC7A1	LGALS3BP	FYCO1	CRNN
